Number	Name	Desig	Family	CS	Class	DiamS	DiamF	Diam	HS	HBand	H	GS	G	AlbS	AlbF	Albedo	PF	Period	PerDesc	AmpF	AmpMin	AmpMax	U	Pole	BIN	Notes
17102	Begzhigitova	1999 JB41	FLOR	A	S	C		2.98	M		14.8	M	0.15	A		0.24		5.341				0.3	2	0		
17105	1999 JC47	1999 JC47	EUN	A	S	C		6.34	M		13.3	M	0.15	A		0.21		3.513				0.41	2	0		
17109	1999 JF52	1999 JF52	MB-O	A	C	C		16.05	M		12.7	M	0.15	A		0.057		3.1874				0.32	3	0		
17119	Alexisrodrz	1999 JP59	MB-M	A	S	C		4.56	T		14.82	G	0.235	A		0.10		17.794			0.46	0.60	2	0		
17124	1999 JC65	1999 JC65	MB-M	A	SC	C		5.77	T		14.31	L	0.15	A		0.10		3.37				0.30	2-	0		
17127	1999 JE69	1999 JE69	EUN	A	S	C		4.35	T		14.12	G	0.530	A		0.21		240.669				0.85	2	0		
17129	1999 JM78	1999 JM78	MB-M	A	S	C		12.12	M		12.7	M	0.15	A		0.10		6.2615			0.44	0.51	3	0		
17137	1999 JK84	1999 JK84	MB-O	A	C	C		12.17	T		13.3	G	0.560	A		0.057		11.510				0.40	2	0		
17148	1999 JJ105	1999 JJ105	MB-O	A	C	C		10.13	M		13.7	M	0.15	A		0.057		2.7778			0.20	0.25	2+	0		
17149	1999 JM105	1999 JM105	MB-O	A	C	C		7.81	T		14.26	G	0.200	A		0.057		138.110				0.50	2	0		
17150	1999 JP109	1999 JP109	THM	A	C	C		8.00	T		13.84	G	0.845	A		0.08		6.268				0.14	2	0		
17152	1999 JA118	1999 JA118	MB-I	A	S	C		7.82	M		12.9	M	0.15	A		0.20		9.4161				0.22	3	0		
17157	1999 KP6	1999 KP6	EUN	A	S	C		7.29	M		13.0	M	0.15	A		0.21		3.72				0.17	2	0		
17161	1999 LQ13	1999 LQ13	MB-O	A	C	C		10.64	T		13.59	G	0.930	A		0.057		7.720				0.62	2	1		
17163	Vasifedoseev	1999 LT19	KOR	A	S	C		3.67	T		14.34	G	0.485	A		0.24		4.112				0.23	2	0		
17170	Vsevustinov	1999 NS25	FLOR	A	S	C		4.50	M		13.9	M	0.15	A		0.24		3.3750				0.16	3	0		
17171	1999 NB38	1999 NB38	TR-J	A	C	C		44.22	M		10.5	M	0.15	A		0.057		64.79				0.66	2	0		
17172	1999 NZ41	1999 NZ41	TR-J	A	C	C		38.51	M		10.8	M	0.15	A		0.057		47.02				0.83	3-	0		
17177	1999 TA41	1999 TA41	MB-O	A	C	C		10.31	T		13.66	G	0.925	A		0.057		7.313				0.28	2	0		
17178	1999 TK218	1999 TK218	MB-O	A	C	C		7.96	T		14.22	G	0.200	A		0.057		9.067				0.46	2	0		
17182	1999 VU	1999 VU	NEA	A	S	C		1.18	M		17	M	0.15	A		0.20		6.61				0.15	2	0		
