"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.377166407E0,1.555663347E-2,-8.543014526E-3,-2.460223064E-2
1.382220000E0,1.603221893E-2,-1.917266846E-2,-3.965194896E-2
1.387273594E0,2.831405401E-2,-8.349418640E-3,-3.795626760E-2
1.392327188E0,-4.494160414E-3,4.762649536E-3,-2.919910103E-2
1.397380782E0,1.159542799E-2,-3.604888916E-3,-4.986951128E-3
1.402434375E0,6.032466888E-3,1.539516449E-2,-5.834214389E-3
1.407487969E0,-4.111379385E-3,-1.680278778E-2,1.222892199E-2
1.412541563E0,1.246213913E-3,-9.559631348E-3,1.947110333E-2
1.417595157E0,-4.260748625E-3,1.423931122E-2,2.767356113E-2
1.422648803E0,-4.852503538E-3,-1.082897186E-2,2.407545224E-2
1.427702396E0,-1.024806499E-2,-2.450942993E-3,2.173791267E-2
1.432755990E0,1.171910763E-2,1.110076904E-3,2.421447262E-2
1.437809584E0,-1.510629058E-2,-6.041526794E-3,1.953234710E-2
1.442863178E0,-2.640515566E-3,-2.450942993E-3,2.922304720E-2
1.447916771E0,-1.275750995E-2,-2.449989319E-3,3.519889712E-2
1.452970365E0,-1.685476303E-2,-6.010055542E-3,3.753346205E-2
1.458023959E0,-7.072687149E-4,-4.482269287E-5,5.518649891E-2
1.463077553E0,-1.374036074E-3,-3.625869751E-3,8.097492158E-2
1.468131146E0,-2.099817991E-2,1.132965088E-3,6.853133440E-2
1.473184740E0,-1.210516691E-2,1.059722900E-2,7.521443069E-2
1.478238334E0,-7.974028587E-3,-1.964569092E-4,5.931906402E-2
1.483291928E0,-3.352391720E-2,9.708404541E-4,4.827418178E-2
1.488345521E0,-2.560761571E-2,6.876945496E-3,5.270608142E-2
1.493399115E0,-2.605170012E-2,9.173393250E-3,5.602080002E-2
1.498452709E0,-2.535045147E-2,1.955032349E-3,5.806120485E-2
1.503506303E0,-2.104833722E-2,7.314682007E-4,7.787285745E-2
1.508559896E0,-3.724366426E-3,-6.416320801E-3,7.616947591E-2
1.513613490E0,-1.631233096E-2,-1.637458801E-3,7.549909502E-2
1.518667084E0,-2.404704690E-2,-2.834320068E-3,7.974858582E-2
1.523720678E0,-2.454948425E-2,1.022720337E-2,7.787327468E-2
1.528774271E0,-1.556634903E-2,1.368045807E-2,5.943201855E-2
1.533827865E0,-2.922758460E-2,5.234718323E-3,6.125967205E-2
1.538881459E0,-3.097987175E-2,-9.076118469E-3,4.646728560E-2
1.543935053E0,-2.789366245E-2,-1.899719238E-3,2.950282954E-2
1.548988646E0,-3.073826432E-2,-4.279136658E-3,4.237216339E-2
1.554042240E0,-2.410790324E-2,6.418228149E-3,7.042778283E-2
1.559095834E0,-1.862907410E-2,-1.027393341E-2,6.269969791E-2
1.564149480E0,-2.635964751E-2,-1.900672913E-3,5.383291095E-2
1.569203073E0,-3.521287441E-2,1.233673096E-2,4.129720479E-2
1.574256667E0,-3.443524241E-2,1.340007782E-2,2.431260422E-2
1.579310261E0,-2.301067114E-2,9.705543518E-3,3.772128141E-3
1.584363855E0,-1.892477274E-2,-1.176738739E-2,-1.177145261E-2
1.589417448E0,-3.605869412E-2,-1.050186157E-2,-3.549956717E-3
1.594471042E0,-4.489165545E-2,-1.281261444E-2,6.015322637E-3
1.599524636E0,-3.100582957E-2,-3.231048584E-3,8.230203763E-3
1.604578230E0,-2.909123898E-2,-4.411697388E-3,1.884118654E-2
1.609631823E0,-2.481848001E-2,-9.142875671E-3,1.033985615E-2
1.614685417E0,-2.418801188E-2,-4.340171814E-3,4.269255791E-3
1.619739011E0,-2.242106199E-2,6.355285645E-3,-5.314168520E-3
1.624792605E0,-2.767023444E-2,-8.392333984E-4,-1.235235482E-2
1.629846198E0,-3.409299254E-2,3.894805908E-3,-3.607155010E-2
1.634899792E0,-2.623248100E-2,-5.655288696E-3,-3.461914137E-2
1.639953386E0,-2.906063199E-2,-9.188652039E-3,-3.781989962E-2
1.645006980E0,-4.607984424E-2,-7.942199707E-3,-3.397791460E-2
1.650060573E0,-3.935191035E-2,-6.711959839E-3,-3.485700488E-2
1.655114167E0,-2.669927478E-2,5.193710327E-3,-3.455597162E-2
1.660167761E0,-2.483579516E-2,3.942489624E-3,-2.463979833E-2
1.665221355E0,-3.607589006E-2,1.219749451E-2,-3.746616468E-2
1.670274948E0,-3.768032789E-2,2.577781677E-3,-4.315486178E-2
1.675328542E0,-3.452315927E-2,2.535820007E-3,-5.104966834E-2
1.680382136E0,-4.332348704E-2,1.306533813E-3,-5.178779736E-2
1.685435730E0,-3.760889173E-2,-9.404182434E-3,-5.362946913E-2
1.690489323E0,-4.393374920E-2,8.459091187E-3,-4.710131139E-2
1.695542917E0,-5.023619533E-2,5.817413330E-5,-3.819116578E-2
1.700596511E0,-3.861936927E-2,-1.420593262E-2,-2.231190912E-2
1.705650105E0,-3.656581044E-2,2.512931824E-3,-1.968076639E-2
1.710703750E0,-4.878941178E-2,-7.023811340E-3,-1.939817704E-2
1.715757344E0,-6.567448378E-2,-3.422737122E-3,-2.269727550E-2
1.720810938E0,-4.921114445E-2,-6.975173950E-3,-3.190127760E-2
1.725864532E0,-5.898532271E-2,-1.049709320E-2,-2.439951152E-2
1.730918125E0,-4.610863328E-2,-4.492759705E-3,-3.120132536E-2
1.735971719E0,-4.403802752E-2,1.461029053E-3,-3.189172968E-2
1.741025313E0,-5.035474896E-2,-9.256362915E-3,-3.503963351E-2
1.746078907E0,-4.820337892E-2,-1.869392395E-2,-2.280500904E-2
1.751132500E0,-5.208092928E-2,-7.514953613E-4,1.462465152E-4
1.756186094E0,-4.162076116E-2,-7.610321045E-4,-6.815164350E-3
1.761239688E0,-3.952693939E-2,-1.383018494E-2,4.055175465E-3
1.766293282E0,-6.247001886E-2,-1.864433289E-3,2.996974625E-3
1.771346875E0,-5.073618889E-2,-7.802009583E-3,-3.957934678E-3
1.776400469E0,-4.502049088E-2,-8.942604065E-3,-6.166281179E-3
1.781454063E0,-3.929179907E-2,-1.760482788E-3,-1.189229079E-3
1.786507657E0,-5.021476746E-2,-1.761436462E-3,-4.562752321E-3
1.791561250E0,-6.223380566E-2,-7.698059082E-3,3.706701100E-4
1.796614844E0,-5.165874958E-2,-5.277633667E-3,2.887154929E-3
1.801668438E0,-5.541673303E-2,-5.250930786E-3,8.961115032E-3
1.806722032E0,-3.660407662E-2,-4.777908325E-4,1.855955645E-2
1.811775625E0,-3.570899367E-2,6.980895996E-4,1.970879734E-2
1.816829219E0,-5.495616794E-2,-5.102157593E-4,2.322177589E-2
1.821882813E0,-3.838533163E-2,1.372432709E-2,2.781814337E-2
1.826936407E0,-3.634881973E-2,1.715278625E-2,9.880660102E-3
1.831990000E0,-5.323159695E-2,-4.371643066E-3,8.786520921E-3
1.837043646E0,-6.408390403E-2,-3.165245056E-3,6.576329470E-4
1.842097188E0,-4.985657334E-2,-1.977348328E-2,2.204509825E-2
1.847150834E0,-5.819627643E-2,-7.751464844E-3,3.278293461E-2
1.852204375E0,-6.185442209E-2,-1.766204834E-3,4.458851367E-2
1.857258021E0,-4.875707626E-2,2.983093262E-3,4.917160422E-2
1.862311615E0,-4.894775152E-2,-2.993583679E-3,4.893877357E-2
