"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.455254375E0,-4.307604599E1,-4.504160404E0,-2.181899261E1
3.465280730E0,-4.321063614E1,-4.563187122E0,-2.178092957E1
3.475304428E0,-4.324982452E1,-4.653072834E0,-2.182003784E1
3.485411667E0,-4.317491913E1,-4.720912457E0,-2.176397705E1
3.495518125E0,-4.343933487E1,-4.607722282E0,-2.189494324E1
3.505625938E0,-4.340247345E1,-4.572247505E0,-2.162746429E1
3.515732657E0,-4.334600830E1,-4.605404854E0,-2.158996582E1
3.525841042E0,-4.309936905E1,-4.788198471E0,-2.180334473E1
3.535947500E0,-4.317543030E1,-4.791247368E0,-2.184120178E1
3.545254375E0,-4.308079529E1,-4.875189304E0,-2.191903687E1
3.555254375E0,-4.303826141E1,-4.660115719E0,-2.210742188E1
3.565254428E0,-4.303968048E1,-4.713751793E0,-2.201264954E1
3.575254323E0,-4.296709442E1,-4.870947838E0,-2.180499268E1
3.585254375E0,-4.310310364E1,-4.966137886E0,-2.163376617E1
3.595254375E0,-4.317916870E1,-4.916767120E0,-2.155644989E1
3.605254323E0,-4.319799805E1,-4.864943981E0,-2.147937012E1
3.615254323E0,-4.302666855E1,-4.822972298E0,-2.134603882E1
3.625254375E0,-4.313729858E1,-4.510042191E0,-2.122710419E1
3.635254375E0,-4.314168930E1,-4.601169109E0,-2.077014160E1
3.645254375E0,-4.315846252E1,-4.407791138E0,-2.069130707E1
3.655254375E0,-4.315408325E1,-4.229298592E0,-2.095631409E1
3.665254323E0,-4.315317154E1,-4.263470650E0,-2.116669464E1
3.675254375E0,-4.313524628E1,-4.333541393E0,-2.114856720E1
3.685254375E0,-4.323052597E1,-4.285099030E0,-2.105208588E1
3.695254375E0,-4.326687622E1,-4.285185337E0,-2.131912994E1
3.705254375E0,-4.325280762E1,-4.603198528E0,-2.126589966E1
3.715350209E0,-4.315481567E1,-4.631844521E0,-2.172479248E1
3.725457709E0,-4.304199219E1,-4.855528355E0,-2.197622681E1
3.735564167E0,-4.312025070E1,-4.877930641E0,-2.172801971E1
3.745671771E0,-4.304264450E1,-4.803661823E0,-2.176562500E1
3.755780209E0,-4.311754990E1,-4.735822678E0,-2.182168579E1
3.765886303E0,-4.323112488E1,-4.757426262E0,-2.199320221E1
3.775993334E0,-4.332910919E1,-4.798672676E0,-2.168787384E1
3.785254375E0,-4.327276611E1,-4.849413872E0,-2.166968536E1
3.795254428E0,-4.329520416E1,-4.923000336E0,-2.132694244E1
3.805254375E0,-4.348627472E1,-4.809084892E0,-2.101924896E1
3.815254323E0,-4.314488602E1,-4.988344193E0,-2.113759613E1
3.825254271E0,-4.322158813E1,-5.026892185E0,-2.115680695E1
3.835254375E0,-4.310904694E1,-5.041119576E0,-2.090938568E1
3.845254323E0,-4.320843506E1,-5.258314133E0,-2.077802277E1
3.855254375E0,-4.317142868E1,-5.379986763E0,-2.087514496E1
3.865254375E0,-4.318830872E1,-5.361450195E0,-2.116113281E1
3.875254323E0,-4.343236542E1,-5.124024868E0,-2.121429443E1
3.885254271E0,-4.329415894E1,-5.026954174E0,-2.170997620E1
3.895254323E0,-4.355728912E1,-4.825292110E0,-2.183984375E1
3.905254323E0,-4.353665924E1,-4.788200855E0,-2.199217224E1
3.915254375E0,-4.368569946E1,-4.599439144E0,-2.210364532E1
3.925254375E0,-4.368235779E1,-4.386885643E0,-2.213918304E1
3.935261511E0,-4.371717453E1,-4.175966740E0,-2.217456055E1
3.945287553E0,-4.369578552E1,-3.980953693E0,-2.209588623E1
3.955396198E0,-4.369642258E1,-4.068872452E0,-2.219241333E1
3.965503230E0,-4.383257294E1,-4.024388313E0,-2.169497681E1
3.975610365E0,-4.368186188E1,-4.124346256E0,-2.163966370E1
3.985718230E0,-4.374374390E1,-4.288039207E0,-2.129785919E1
3.995824636E0,-4.361338806E1,-4.582125664E0,-2.147390747E1
